glat	glng	gmap_color	gaddress	current_rent	current_assessment	assessment_to_rent_ratio	BaseValue_Year	lagov	screenshot
34.1176678	-118.3820362	#4b64d5	8532 Eastwood Rd, West Hollywood, CA 90046, USA	29500.0	3595500.0	121.88	2023	https://portal.assessor.lacounty.gov/parceldetail/5565032037	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/8532_Eastwood_Rd,_West_Hollywood,_CA_90046,_USA.png
33.9922614	-118.4684973	#80a3fa	516 San Juan Ave, Venice, CA 90291, USA	9000.0	1737961.0	193.11	2015	https://portal.assessor.lacounty.gov/parceldetail/4239026013	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/516_San_Juan_Ave,_Venice,_CA_90291,_USA.png
34.0454132	-118.3824234	#516ddb	1801 S Bedford St, Los Angeles, CA 90035, USA	26000.0	1508580.0	58.02	2022	https://portal.assessor.lacounty.gov/parceldetail/4303015018	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/1801_S_Bedford_St,_Los_Angeles,_CA_90035,_USA.png
33.9927202	-118.4629886	#aec9fc	710 Milwood Ave, Venice, CA 90291, USA	17300.0	3283789.0	189.81	2008	https://portal.assessor.lacounty.gov/parceldetail/4241011006	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/710_Milwood_Ave,_Venice,_CA_90291,_USA.png
34.0840853	-118.3495675	#f7bca1	712 N Fuller Ave, Los Angeles, CA 90046, USA	10500.0	741850.0	70.65	1992	https://portal.assessor.lacounty.gov/parceldetail/5526008010	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/712_N_Fuller_Ave,_Los_Angeles,_CA_90046,_USA.png
33.9867524	-118.3164821	#f1ccb8	5918 Haas Ave, Los Angeles, CA 90047, USA	2850.0	162827.0	57.13	1995	https://portal.assessor.lacounty.gov/parceldetail/6001006005	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/5918_Haas_Ave,_Los_Angeles,_CA_90047,_USA.png
34.2300291	-118.4804903	#799cf8	8758 Gloria Ave, North Hills, CA 91343, USA	4450.0	678936.0	152.57	2016	https://portal.assessor.lacounty.gov/parceldetail/2672022006	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/8758_Gloria_Ave,_North_Hills,_CA_91343,_USA.png
34.2036009	-118.3804324	#5875e1	7317 Kraft Ave, North Hollywood, CA 91605, USA	5650.0	813945.0	144.06	2021	https://portal.assessor.lacounty.gov/parceldetail/2316023021	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/7317_Kraft_Ave,_North_Hollywood,_CA_91605,_USA.png
34.2274781	-118.6007469	#455cce	8610 Remmet Ave, Canoga Park, CA 91304, USA	4400.0	834000.0	189.55	2024	https://portal.assessor.lacounty.gov/parceldetail/2779031009	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/8610_Remmet_Ave,_Canoga_Park,_CA_91304,_USA.png
34.1846195	-118.430449	#f7b599	6251 Buffalo Ave, Van Nuys, CA 91401, USA	6000.0	442945.0	73.82	1991	https://portal.assessor.lacounty.gov/parceldetail/2330013002	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/6251_Buffalo_Ave,_Van_Nuys,_CA_91401,_USA.png
34.1837038	-118.5252401	#93b5fe	18010 Erwin St, Encino, CA 91316, USA	6495.0	745002.0	114.7	2012	https://portal.assessor.lacounty.gov/parceldetail/2123023062	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/18010_Erwin_St,_Encino,_CA_91316,_USA.png
34.1813829	-118.6271377	#4b64d5	22951 Calvert St, Woodland Hills, CA 91367, USA	8700.0	1122069.0	128.97	2023	https://portal.assessor.lacounty.gov/parceldetail/2039014036	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/22951_Calvert_St,_Woodland_Hills,_CA_91367,_USA.png
34.2551198	-118.439486	#3f53c6	10138 Arleta Ave, Arleta, CA 91331, USA	4000.0	194595.0	48.65	2025	https://portal.assessor.lacounty.gov/parceldetail/2617001047	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/10138_Arleta_Ave,_Arleta,_CA_91331,_USA.png
34.1678929	-118.5552025	#a7c5fe	19345 Santa Rita St, Tarzana, CA 91356, USA	5500.0	858489.0	156.09	2009	https://portal.assessor.lacounty.gov/parceldetail/2163004010	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/19345_Santa_Rita_St,_Tarzana,_CA_91356,_USA.png
34.2862468	-118.4176082	#5875e1	13084 Del Sur St, San Fernando, CA 91340, USA	3695.0	401387.0	108.63	2021	https://portal.assessor.lacounty.gov/parceldetail/2514015024	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/13084_Del_Sur_St,_San_Fernando,_CA_91340,_USA.png
34.1817616	-118.4299353	#3f53c6	6114 Buffalo Ave, Van Nuys, CA 91401, USA	5500.0	760577.0	138.29	2025	https://portal.assessor.lacounty.gov/parceldetail/2330017011	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/6114_Buffalo_Ave,_Van_Nuys,_CA_91401,_USA.png
34.1330647	-118.4439488	#e1dad6	3436 Coy Dr, Sherman Oaks, CA 91423, USA	10900.0	725435.0	66.55	1999	https://portal.assessor.lacounty.gov/parceldetail/2274023010	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/3436_Coy_Dr,_Sherman_Oaks,_CA_91423,_USA.png
34.1913071	-118.4221976	#799cf8	6636 Fulton Ave, Van Nuys, CA 91401, USA	4500.0	545467.0	121.21	2016	https://portal.assessor.lacounty.gov/parceldetail/2326018013	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/6636_Fulton_Ave,_Van_Nuys,_CA_91401,_USA.png
34.2613622	-118.3085617	#7295f4	10558 Langmuir Ave, Sunland, CA 91040, USA	4900.0	453015.0	92.45	2017	https://portal.assessor.lacounty.gov/parceldetail/2556025001	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/10558_Langmuir_Ave,_Sunland,_CA_91040,_USA.png
34.2143799	-118.4166526	#455cce	7911 Ethel Ave, North Hollywood, CA 91605, USA	4500.0	585258.0	130.06	2024	https://portal.assessor.lacounty.gov/parceldetail/2303025004	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/7911_Ethel_Ave,_North_Hollywood,_CA_91605,_USA.png
34.1364226	-118.3851637	#455cce	11575 Amanda Dr, Studio City, CA 91604, USA	8500.0	186217.0	21.91	2024	https://portal.assessor.lacounty.gov/parceldetail/2377008001	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/11575_Amanda_Dr,_Studio_City,_CA_91604,_USA.png
34.2845967	-118.3955347	#7295f4	12049 Hoyt St, Sylmar, CA 91342, USA	1800.0	534773.0	297.1	2017	https://portal.assessor.lacounty.gov/parceldetail/2531008028	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/12049_Hoyt_St,_Sylmar,_CA_91342,_USA.png
34.0101045	-118.3026658	#516ddb	4021 Halldale Ave, Los Angeles, CA 90062, USA	7000.0	676260.0	96.61	2022	https://portal.assessor.lacounty.gov/parceldetail/5021003005	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/4021_Halldale_Ave,_Los_Angeles,_CA_90062,_USA.png
34.0334457	-118.2760673	#6485ec	1981 Estrella Ave, Los Angeles, CA 90007, USA	8000.0	776485.0	97.06	2019	https://portal.assessor.lacounty.gov/parceldetail/5124033015	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/1981_Estrella_Ave,_Los_Angeles,_CA_90007,_USA.png
34.0151014	-118.2922884	#6485ec	3910 Wisconsin St, Los Angeles, CA 90037, USA	6750.0	710866.0	105.31	2019	https://portal.assessor.lacounty.gov/parceldetail/5037019025	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/3910_Wisconsin_St,_Los_Angeles,_CA_90037,_USA.png
34.0248185	-118.3020105	#455cce	1457 W 35th St, Los Angeles, CA 90018, USA	5350.0	557541.0	104.21	2024	https://portal.assessor.lacounty.gov/parceldetail/5041001012	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/1457_W_35th_St,_Los_Angeles,_CA_90018,_USA.png
34.0865252	-118.2671568	#f3c7b1	2712 Berkeley Ave, Los Angeles, CA 90026, USA	5720.0	266579.0	46.6	1994	https://portal.assessor.lacounty.gov/parceldetail/5424007012	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/2712_Berkeley_Ave,_Los_Angeles,_CA_90026,_USA.png
34.1612304	-118.6201059	#6b8df0	22681 Cass Ave, Woodland Hills, CA 91364, USA	5995.0	862291.0	143.84	2018	https://portal.assessor.lacounty.gov/parceldetail/2075022020	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/22681_Cass_Ave,_Woodland_Hills,_CA_91364,_USA.png
34.1991427	-118.6536461	#ba162b	7101 Scarborough Peak Dr, West Hills, CA 91307, USA	1995.0	214557.0	107.55	1975	https://portal.assessor.lacounty.gov/parceldetail/2028010023	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/7101_Scarborough_Peak_Dr,_West_Hills,_CA_91307,_USA.png
34.2519034	-118.5948888	#d8dce2	10000 Eton Ave, Chatsworth, CA 91311, USA	5000.0	457940.0	91.59	2001	https://portal.assessor.lacounty.gov/parceldetail/2747007041	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/10000_Eton_Ave,_Chatsworth,_CA_91311,_USA.png
33.9332544	-118.3100059	#7295f4	11118 S Manhattan Pl, Los Angeles, CA 90047, USA	3390.0	443748.0	130.9	2017	https://portal.assessor.lacounty.gov/parceldetail/6078020004	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/11118_S_Manhattan_Pl,_Los_Angeles,_CA_90047,_USA.png
34.1591201	-118.6997123	#cdd9ec	5633 Ruthwood Dr, Calabasas, CA 91302, USA	4700.0	678710.0	144.41	2003	https://portal.assessor.lacounty.gov/parceldetail/2052021045	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/5633_Ruthwood_Dr,_Calabasas,_CA_91302,_USA.png
33.8769617	-118.0773178	#6b8df0	11971 170th St, Artesia, CA 90701, USA	3210.0	407160.0	126.84	2018	https://portal.assessor.lacounty.gov/parceldetail/7011020063	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/11971_170th_St,_Artesia,_CA_90701,_USA.png
34.4272239	-118.5442086	#8db0fe	23339 Clearwater Ln, Valencia, CA 91355, USA	4350.0	537108.0	123.47	2013	https://portal.assessor.lacounty.gov/parceldetail/2811081040	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/23339_Clearwater_Ln,_Valencia,_CA_91355,_USA.png
34.5859704	-118.1247163	#a7c5fe	38714 3rd St E, Palmdale, CA 93550, USA	2650.0	80788.0	30.49	2009	https://portal.assessor.lacounty.gov/parceldetail/3008006024	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/38714_3rd_St_E,_Palmdale,_CA_93550,_USA.png
34.5975642	-118.1681773	#455cce	39344 Stonegate St, Palmdale, CA 93551, USA	3295.0	550000.0	166.92	2024	https://portal.assessor.lacounty.gov/parceldetail/3003043034	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/39344_Stonegate_St,_Palmdale,_CA_93551,_USA.png
34.0011178	-117.968772	#516ddb	1728 Larchwood Ave, La Puente, CA 91745, USA	2900.0	694986.0	239.65	2022	https://portal.assessor.lacounty.gov/parceldetail/8219015047	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/1728_Larchwood_Ave,_La_Puente,_CA_91745,_USA.png
34.0266078	-117.9216168	#c1d4f4	16930 Millstone Dr, La Puente, CA 91744, USA	3100.0	377497.0	121.77	2005	https://portal.assessor.lacounty.gov/parceldetail/8262006008	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/16930_Millstone_Dr,_La_Puente,_CA_91744,_USA.png
34.0156	-117.8922417	#c7d7f0	3535 Priscilla Dr, West Covina, CA 91792, USA	3500.0	564515.0	161.29	2004	https://portal.assessor.lacounty.gov/parceldetail/8733015028	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/3535_Priscilla_Dr,_West_Covina,_CA_91792,_USA.png
34.0337878	-117.7638174	#455cce	21 N Slope Ln, Pomona, CA 91766, USA	5180.0	805000.0	155.41	2024	https://portal.assessor.lacounty.gov/parceldetail/8708011030	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/21_N_Slope_Ln,_Pomona,_CA_91766,_USA.png
34.1372906	-117.8404154	#8db0fe	135 Underhill Dr, Glendora, CA 91741, USA	8200.0	634132.0	77.33	2013	https://portal.assessor.lacounty.gov/parceldetail/8656024008	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/135_Underhill_Dr,_Glendora,_CA_91741,_USA.png
34.0194667	-117.8057137	#dddcdc	23572 Casa Loma Dr, Diamond Bar, CA 91765, USA	4500.0	323192.0	71.82	2000	https://portal.assessor.lacounty.gov/parceldetail/8701004010	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/23572_Casa_Loma_Dr,_Diamond_Bar,_CA_91765,_USA.png
33.8490213	-118.084002	#7295f4	19922 Alburtis Ave, Lakewood, CA 90715, USA	3995.0	361565.0	90.5	2017	https://portal.assessor.lacounty.gov/parceldetail/7059026029	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/19922_Alburtis_Ave,_Lakewood,_CA_90715,_USA.png
33.8593689	-118.135861	#ba162b	5723 Whitewood Ave, Lakewood, CA 90712, USA	3200.0	76611.0	23.94	1975	https://portal.assessor.lacounty.gov/parceldetail/7170013014	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/5723_Whitewood_Ave,_Lakewood,_CA_90712,_USA.png
33.7651428	-118.116634	#6b8df0	6231 Majorca Cir, Long Beach, CA 90803, USA	7250.0	1115514.0	153.86	2018	https://portal.assessor.lacounty.gov/parceldetail/7242023026	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/6231_Majorca_Cir,_Long_Beach,_CA_90803,_USA.png
33.8545676	-118.1489644	#516ddb	3632 Camerino St, Lakewood, CA 90712, USA	3395.0	776137.0	228.61	2022	https://portal.assessor.lacounty.gov/parceldetail/7159013006	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/3632_Camerino_St,_Lakewood,_CA_90712,_USA.png
33.7556152	-118.1340061	#c12b30	54 Pomona Ave, Long Beach, CA 90803, USA	4100.0	334018.0	81.47	1976	https://portal.assessor.lacounty.gov/parceldetail/7245007004	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/54_Pomona_Ave,_Long_Beach,_CA_90803,_USA.png
34.0737832	-118.4018551	#d8dce2	504 N Crescent Dr, Beverly Hills, CA 90210, USA	20000.0	1920469.0	96.02	2001	https://portal.assessor.lacounty.gov/parceldetail/4344006002	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/504_N_Crescent_Dr,_Beverly_Hills,_CA_90210,_USA.png
34.0619039	-118.3967196	#ba162b	304 Canon Dr, Beverly Hills, CA 90212, USA	6750.0	166988.0	24.74	1975	https://portal.assessor.lacounty.gov/parceldetail/4331006035	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/304_Canon_Dr,_Beverly_Hills,_CA_90212,_USA.png
34.0999959	-118.3923491	#d3dbe7	1151 N Hillcrest Rd, Beverly Hills, CA 90210, USA	60000.0	4995310.0	83.26	2002	https://portal.assessor.lacounty.gov/parceldetail/4391028011	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/1151_N_Hillcrest_Rd,_Beverly_Hills,_CA_90210,_USA.png
33.9699217	-117.8288535	#5e7de7	2839 Oak Knoll Dr, Diamond Bar, CA 91765, USA	27000.0	4798959.0	177.74	2020	https://portal.assessor.lacounty.gov/parceldetail/8713021030	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-17/2839_Oak_Knoll_Dr,_Diamond_Bar,_CA_91765,_USA.png
34.1150472	-117.8574647	#7295f4	1327 Essex Ct, Glendora, CA 91740, USA	3498.0	637294.0	182.19	2017	https://portal.assessor.lacounty.gov/parceldetail/8641013017	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-17/1327_Essex_Ct,_Glendora,_CA_91740,_USA.png
33.9946593	-117.9461431	#516ddb	16509 Elm Haven Dr, Hacienda Heights, CA 91745, USA	3800.0	905147.0	238.2	2022	https://portal.assessor.lacounty.gov/parceldetail/8207007022	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-17/16509_Elm_Haven_Dr,_Hacienda_Heights,_CA_91745,_USA.png
34.0405469	-117.9344758	#86a9fc	1177 Echelon Ave, La Puente, CA 91744, USA	3195.0	376763.0	117.92	2014	https://portal.assessor.lacounty.gov/parceldetail/8252001033	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-17/1177_Echelon_Ave,_La_Puente,_CA_91744,_USA.png
34.0986821	-118.0403713	#5875e1	10526 Freer Ave, Temple City, CA 91780, USA	4800.0	997533.0	207.82	2021	https://portal.assessor.lacounty.gov/parceldetail/8585023066	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/10526_Freer_Ave,_Temple_City,_CA_91780,_USA.png
34.0891948	-118.2518202	#6485ec	2022 Blackbirds Way, Los Angeles, CA 90026, USA	7500.0	1186602.0	158.21	2019	https://portal.assessor.lacounty.gov/parceldetail/5420016029	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/2022_Blackbirds_Way,_Los_Angeles,_CA_90026,_USA.png
34.0754162	-118.2560199	#bbd1f8	1210 Laveta Terrace, Los Angeles, CA 90026, USA	4950.0	736866.0	148.86	2006	https://portal.assessor.lacounty.gov/parceldetail/5405001032	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/1210_Laveta_Terrace,_Los_Angeles,_CA_90026,_USA.png
34.2411875	-118.2619836	#f7b599	3800 Los Olivos Ln, Glendale, CA 91214, USA	4550.0	587769.0	129.18	1991	https://portal.assessor.lacounty.gov/parceldetail/5603008017	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/3800_Los_Olivos_Ln,_Glendale,_CA_91214,_USA.png
34.077406	-117.9208758	#c7d7f0	354 N Toland Ave, West Covina, CA 91790, USA	2000.0	583889.0	291.94	2004	https://portal.assessor.lacounty.gov/parceldetail/8456009001	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/354_N_Toland_Ave,_West_Covina,_CA_91790,_USA.png
34.0049267	-118.3277776	#86a9fc	4327 10th Ave, Los Angeles, CA 90008, USA	5500.0	587683.0	106.85	2014	https://portal.assessor.lacounty.gov/parceldetail/5023012004	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/4327_10th_Ave,_Los_Angeles,_CA_90008,_USA.png
34.0998569	-118.3817583	#5e7de7	8835 Evanview Dr, Los Angeles, CA 90069, USA	33000.0	3983228.0	120.7	2020	https://portal.assessor.lacounty.gov/parceldetail/5558006028	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/8835_Evanview_Dr,_Los_Angeles,_CA_90069,_USA.png
34.1037124	-118.3818782	#516ddb	1923 Sunset Plaza Dr, Los Angeles, CA 90069, USA	11995.0	1664640.0	138.78	2022	https://portal.assessor.lacounty.gov/parceldetail/5558002013	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/1923_Sunset_Plaza_Dr,_Los_Angeles,_CA_90069,_USA.png
33.9629325	-118.3006649	#4b64d5	1407 W 84th St, Los Angeles, CA 90047, USA	6500.0	724098.0	111.4	2023	https://portal.assessor.lacounty.gov/parceldetail/6034020015	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/1407_W_84th_St,_Los_Angeles,_CA_90047,_USA.png
33.9490037	-118.1094667	#3f53c6	9608 Lemoran Ave, Downey, CA 90240, USA	3800.0	399166.0	105.04	2025	https://portal.assessor.lacounty.gov/parceldetail/6390024001	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/9608_Lemoran_Ave,_Downey,_CA_90240,_USA.png
34.0477239	-118.3776071	#4b64d5	1657 S Garth Ave, Los Angeles, CA 90035, USA	6475.0	1275000.0	196.91	2023	https://portal.assessor.lacounty.gov/parceldetail/4303029016	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-18/1657_S_Garth_Ave,_Los_Angeles,_CA_90035,_USA.png
34.4711516	-118.5234887	#6b8df0	22219 Trinity Pl, Santa Clarita, CA 91390, USA	4735.0	769705.0	162.56	2018	https://portal.assessor.lacounty.gov/parceldetail/3244123011	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-19/22219_Trinity_Pl,_Santa_Clarita,_CA_91390,_USA.png
34.2508327	-118.473806	#7295f4	15658 Septo St, North Hills, CA 91343, USA	3690.0	542739.0	147.08	2017	https://portal.assessor.lacounty.gov/parceldetail/2661028012	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-19/15658_Septo_St,_North_Hills,_CA_91343,_USA.png
34.5618807	-118.1664477	#93b5fe	2109 Pearmain Dr, Palmdale, CA 93551, USA	2899.0	166228.0	57.34	2012	https://portal.assessor.lacounty.gov/parceldetail/3206048050	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-19/2109_Pearmain_Dr,_Palmdale,_CA_93551,_USA.png
34.247234	-118.5643184	#ba162b	9739 Quartz Ave, Chatsworth, CA 91311, USA	4950.0	109785.0	22.18	1975	https://portal.assessor.lacounty.gov/parceldetail/2761020002	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-19/9739_Quartz_Ave,_Chatsworth,_CA_91311,_USA.png
34.2945562	-118.586757	#516ddb	20801 Acorn Cir #163, Porter Ranch, CA 91326, USA	6500.0	1196460.0	184.07	2022	https://portal.assessor.lacounty.gov/parceldetail/2701098205	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-19/20801_Acorn_Cir_#163,_Porter_Ranch,_CA_91326,_USA.png
34.192162	-118.6164127	#e6d7cf	6706 Capistrano Ave, West Hills, CA 91307, USA	8500.0	295840.0	34.8	1998	https://portal.assessor.lacounty.gov/parceldetail/2038030004	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-19/6706_Capistrano_Ave,_West_Hills,_CA_91307,_USA.png
